Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
yahoo-att-103577.weeblysite.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
7yp9m4-8080.csb.app,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
att-102708.weeblysite.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
beneficios2024.online,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
bw-sms.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
efileirsgov.online,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
att-103539-105038.weeblysite.com,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,1
cutt.ly,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2kjnz9-8080.csb.app,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
laxcvrtrw.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1
pwensillar929.cfd,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
brad.acessosservicosonline.space,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,1
brad.acessosservicosonline.space,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,1
securemailer849490490.weebly.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
live119.godaddysites.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
attlogin106850.square.site,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
sam9.godaddysites.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
shssh.godaddysites.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
academie-creteil.hubside.fr,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1
free-service.hubside.fr,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1
jalliison2.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1
debbienapless.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1
mynetweb20632933.brizy.site,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
kiwi20636069.brizy.site,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
leslies-supercool-site-85eb75.webflow.io,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
